,url_path,websocket,wasm,hash_function,webworkers,messageloop_load,postmessage_load,parallel_functions,url,label
2253,cs-changer.ru-1702648227833,0,0,0,0,234370,11050,0,cs-changer.ru,0
2254,jtl.us-1702720600354,0,0,0,0,51222,3300,0,jtl.us,0
2256,thebelfry.rip-1702764533427,0,0,0,0,25665,2840,0,thebelfry.rip,0
2257,betterware.hu-1702629454294,0,0,0,0,19294,2110,0,betterware.hu,0
2258,oneindia.in-1702734939612,0,0,0,0,133811,23940,0,oneindia.in,0
2259,du.ac.in-1702694628201,0,0,0,0,76504,2140,0,du.ac.in,0
2260,livecricketz.com-1702725183109,0,0,0,0,90870,3670,0,livecricketz.com,0
2261,land.nrw-1702723244613,0,0,0,0,332038,24930,0,land.nrw,0
2262,framadate.org-1702708397158,0,0,0,0,155265,7810,0,framadate.org,0
2263,bepanah.net-1702629216653,0,0,0,0,57664,5770,0,bepanah.net,0
2264,mql5.com-1702730537821,0,0,0,0,444479,43950,0,mql5.com,0
2265,pirateproxy.space-1702738863522,0,0,0,0,81661,8100,0,pirateproxy.space,0
2266,violinonline.com-1702781510295,0,0,0,0,119205,8180,0,violinonline.com,0
2268,privacyinternational.org-1702741164688,0,0,0,0,466028,26530,0,privacyinternational.org,0
2270,undertheradar.co.nz-1702779675585,0,0,0,0,8879,2220,0,undertheradar.co.nz,0
2271,lyzyrdgyzyrd.com-1702725811936,0,0,0,0,49394,2270,0,lyzyrdgyzyrd.com,0
2273,aptitude-test.com-1702619716485,0,0,0,0,150850,53040,0,aptitude-test.com,0
2275,magodeoz.com-1702726090035,0,0,0,0,290937,25760,0,magodeoz.com,0
2277,friv360.com.br-1702709087342,0,0,0,0,77867,7270,0,friv360.com.br,0
2278,pydata.org-1702742338669,0,0,0,0,468972,23960,0,pydata.org,0
2279,doi.gov-1702684367596,0,0,0,0,215758,7470,0,doi.gov,0
2280,streampocket.net-1702750610941,0,0,0,0,19715,3040,0,streampocket.net,0
2281,deutsch-als-fremdsprache.de-1702669500493,0,0,0,0,295437,11210,0,deutsch-als-fremdsprache.de,0
2282,deguate.com-1702661910790,0,0,0,0,129336,5980,0,deguate.com,0
2283,britneyspears.com-1702631937841,0,0,0,1,20242,2540,0,britneyspears.com,0
2284,acorns.com-1702616783377,0,0,0,0,90262,6040,0,acorns.com,0
2287,fellowshipusa.com-1702706807924,0,0,0,0,39532,1930,0,fellowshipusa.com,0
2289,zwezdrusex.org-1702789825043,0,0,0,0,134344,43920,0,zwezdrusex.org,0
2290,radiomadhuban.in-1702742735247,0,0,0,0,19361,2510,0,radiomadhuban.in,0
2291,ccsa.ca-1702633554012,0,0,0,0,25084,2930,0,ccsa.ca,0
2292,bmi.com-1702630835548,0,0,0,0,167996,7310,0,bmi.com,0
2294,ikream.com-1702716926396,0,0,0,0,117741,26700,0,ikream.com,0
2295,hendrix.edu-1702715145686,1,0,0,0,189401,8170,0,hendrix.edu,0
2296,bobshideout.com-1702631083730,0,0,0,1,22328,3850,0,bobshideout.com,0
2298,rthk.hk-1702744752299,0,0,0,0,318299,10600,0,rthk.hk,0
2299,xcafe.com-1702787880463,0,0,0,2,97584,4380,0,xcafe.com,0
2300,encurtador.com.br-1702704822285,0,0,0,0,101399,5370,0,encurtador.com.br,0
2301,proguitar.com-1702741270723,0,0,0,0,201509,28750,0,proguitar.com,0
2303,avaton.com.ua-1702621213777,0,0,0,2,102332,2500,0,avaton.com.ua,0
2305,gingersoftware.com-1702710843355,0,0,0,0,62902,2150,0,gingersoftware.com,0
2307,skladchik.biz-1702747909647,0,0,0,0,5541,2650,0,skladchik.biz,0
2309,lekhaporabd.com-1702723839352,0,0,0,0,222919,9570,0,lekhaporabd.com,0
